ID,Name,Surname,Gender,DateOfBirth
1,"George","Georgiou","Male",1993-11-27
2,"Zisis","Konstantinos","Male",1993-11-21
3,"George","Kyriazhs","Male",1993-04-17
4,"John","Athanadiades","Male",1993-09-04
5,"Dimitris","Kirtsios","Male",1993-04-05
6,"Stavroula","Siachalou","Female",1978-08-08
7,"Stavros","Dokouzianhs","Allien",1960-03-29
8,"Yoshi","Latimer","Male",1988-11-14
9,"Helen","Bennett","Female",1972-01-27
10,"Daniel","Tonini","Male",1991-12-03
11,"Annette","Roulet","Female",1983-05-22
12,"John","Steel","Male",1977-10-10
13,"Felipe","Izquierdo","Male",1972-02-18
14,"Giovanni","Rovelli","Male",1992-03-30
15,"Janete","Limeira","Female",1986-08-15
16,"Michael","Holz","Male",1993-04-16
17,"Jonas","Bergulfsen","Male",1979-01-24
18,"Hari","Kumar","Male",1973-09-19
19,"Dominique","Perrier","Male",1988-05-13
20,"Liu","Wong","Female",1982-03-28
21,"Mary","Saveley","Female",1968-01-17
